freq,target,p,d,q,exogenous,RMSE,MSE,MAE,MAPE,scale_low,scale_mid_low,scale_mid_high,scale_high,LogLik,x1,ar.L1,ar.L2,ma.L1,ma.L2,sigma2
15min,request_count,2,1,2,True,166.81018891119294,27825.639124587873,124.4261964213763,23.9938767564764,0.7443402014319304,0.9461167321376045,1.395540622415948,1.7396062243023,1107.06,0.0005,0.1653,0.1047,-0.4882,-0.1396,0.0379
15min,total_bytes,2,1,2,True,2456162.573186458,6032734585921.924,1823143.2883868802,25.600082533011125,0.7140100822842385,1.0536497432889096,1.3663675035368523,1.792808642828858,2606.258,0.0002,0.0723,0.1749,-0.2938,-0.2747,0.021
5min,request_count,2,1,2,True,59.96497239292494,3595.7979140842504,43.97787818880297,inf,0.7013615510854428,1.01814135936065,1.4318988542267927,1.8498520133744707,-815.902,-0.0063,-0.5997,0.2555,0.1263,-0.6906,0.0689
5min,total_bytes,2,1,2,True,921283.6825235583,848763623684.1685,668583.9859965736,inf,0.6634444458044195,1.0801926000334618,1.46360679473178,1.9313585581976433,1333.99,-0.0031,0.8251,0.0018,-1.3672,0.4177,0.0448
1min,request_count,2,1,2,True,14.120395804105545,199.3855776646015,10.367595930571785,inf,0.5636135842488501,1.0086223980743136,1.3797181300232517,1.9352364578256276,-5147.418,0.0113,0.938,-0.1128,-1.5921,0.5968,0.1639
1min,total_bytes,2,1,2,True,256163.01261391654,65619489031.43756,182570.1019177929,inf,0.419344545276543,0.9066371088400867,1.288497551893666,1.8823117675597245,-630.404,0.0458,0.7489,0.0328,-1.4895,0.4922,0.0664
